NUMBER 4 : SCATTERING, POINT SOURCE (INTERIOR)
NODES
16,16
1,1,1.000,0.000,1.000,0.000
2,2,0.9239,0.3827,0.9239,0.3827
3,3,0.7071,0.7017,0.7071,0.7017
4,4,0.3827,0.9239,0.3827,0.9239
5,5,0.0000,1.0000,0.0000,1.0000
6,6,-0.3827,0.9239,-0.3827,0.9239
7,7,-0.7071,0.7017,-0.7071,0.7017
8,8,-0.9239,0.3827,-0.9239,0.3827
9,9,-1.0000,0.0000,-1.0000,0.0000
10,10,-0.9239,-0.3827,-0.9239,-0.3827
11,11,-0.7071,-0.7017,-0.7071,-0.7017
12,12,-0.3827,-0.9239,-0.3827,-0.9239
13,13,0.0000,-1.0000,0.0000,-1.0000
14,14,0.3827,-0.9239,0.3827,-0.9239
15,15,0.7071,-0.7017,0.7071,-0.7017
16,16,0.9239,-0.3827,0.9239,-0.3827
ELEMENTS
8,1
1,1,8,2
BOUNDARY CONDITIONS
2
1,8,0,0,1,0
1,1,0,1,0,10
FIELD
4
-2,-2
2,-2
2,2
-2,2
SOLVE
